vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,6,6,7,6,6,6
0,gpt-4o,9,8,9,10,9,8
0,google/gemini-3-flash-preview,5,7,10,9,10,8
0,x-ai/grok-4.1-fast,1,9,10,10,9,8
0,anthropic/claude-sonnet-4.5,1,8,7,9,8,7
1,gpt-5,9,6,6,8,7,7
1,gpt-4o,9,8,7,9,8,8
1,google/gemini-3-flash-preview,4,10,10,10,10,9
1,x-ai/grok-4.1-fast,2,7,8,10,9,8
1,anthropic/claude-sonnet-4.5,1,8,2,9,9,8
2,gpt-5,9,7,7,9,7,7
2,gpt-4o,9,8,7,9,8,8
2,google/gemini-3-flash-preview,9,10,10,10,9,9
2,x-ai/grok-4.1-fast,9,10,10,10,8,9
2,anthropic/claude-sonnet-4.5,2,8,3,9,8,7
