vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,openai/gpt-5,7,4,6,8,7,7
0,openai/gpt-4o,8,7,6,9,8,9
0,google/gemini-3-flash-preview,10,10,10,10,10,9
0,x-ai/grok-4.1-fast,8,6,7,10,9,9
0,anthropic/claude-sonnet-4.5,7,6,7,9,8,7
1,openai/gpt-5,4,3,4,4,5,6
1,openai/gpt-4o,9,7,6,5,6,7
1,google/gemini-3-flash-preview,10,10,10,10,10,9
1,x-ai/grok-4.1-fast,10,8,7,9,6,8
1,anthropic/claude-sonnet-4.5,7,5,4,6,5,7
2,openai/gpt-5,5,5,6,6,6,6
2,openai/gpt-4o,8,7,6,9,7,8
2,google/gemini-3-flash-preview,10,10,10,10,10,9
2,x-ai/grok-4.1-fast,9,10,10,10,10,9
2,anthropic/claude-sonnet-4.5,7,6,6,8,7,7
