vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,8,7,8,8,7,7
0,gpt-4o,9,8,9,10,9,8
0,google/gemini-3-flash-preview,10,10,10,10,9,8
0,x-ai/grok-4.1-fast,1,9,10,10,9,8
0,anthropic/claude-sonnet-4.5,1,8,7,9,8,7
1,gpt-5,9,7,6,7,6,6
1,gpt-4o,9,8,9,10,9,8
1,google/gemini-3-flash-preview,7,10,10,10,10,9
1,x-ai/grok-4.1-fast,1,9,10,10,9,8
1,anthropic/claude-sonnet-4.5,2,8,3,9,8,7
2,gpt-5,2,6,5,8,5,6
2,gpt-4o,7,8,7,6,8,8
2,google/gemini-3-flash-preview,3,10,9,10,9,8
2,x-ai/grok-4.1-fast,2,9,8,10,6,7
2,anthropic/claude-sonnet-4.5,3,8,7,9,6,7
